Nom,Prix,Description,Isbn,Photo,Editeur,Auteur
The Ice Guy & The Cool Girl T07,11.83,"« Elle est si mignonne... Je fonds ! »
D'un côté, nous avons Himuro, descendant des temps modernes de la célèbre femme des neiges.
De l'autre, Fuyutsuki, sa collègue aussi gentille qu'unique...
Mais aussi frais qu'ils puissent paraître, aucun des deux n'est doué en relations amoureuses.
Profitant d'un voyage dans une ville thermale, Saejima déclare sa flamme à Komori. S'il est heureux pour ses collègues, Himuro a l'impression de faire du surplace avec Fuyutsuki. Du café à thème au barbecue, il ne recule devant rien pour se retrouver en sa compagnie et faire évoluer sa relation avec elle. Courage, Himuro !",978-2382815823,https://m.media-amazon.com/images/I/81kjoEsrbqL._SY522_.jpg,Mangetsu; Illustrated édition (16 août 2023),Miyuki Tonogaya
Qu'est-ce qui cloche avec la secrétaire Kim ? T03,14.95,"Lee Young Joon est l'héritier d'une entreprise prestigieuse qu'il tient d'une main de fer. Il considère qu'il est l'incarnation de la perfection. Alors quand sa secrétaire, Kim Miso, lui annonce qu'elle veut démissionner pour trouver un petit ami, c'est la douche froide ! Qu'est-ce qui lui prend ? Pour la garder auprès de lui il est prêt à tout...",978-2382880470,https://m.media-amazon.com/images/I/71sVZFohLhL._SY522_.jpg,Kbooks; Illustrated édition (5 janvier 2022),Gyeong Yun Jeong
Solitude d'un autre genre,9.03,"""Voilà, à 28 ans, sans expérience sexuelle ou de couple, en pleine journée du mois de juin, je me retrouve avec une prostituée. Pendant dix ans, j’ai traversé solitude, souffrance, troubles alimentaires, et pas à pas j’ai cherché qui j’étais et comment je pouvais être moi-même.""",978-2811671327,https://m.media-amazon.com/images/I/81hDhcjfwJL._SY522_.jpg,Pika; Illustrated édition (15 juin 2022),Kabi Nagata
Professional Desire T05,7.29,"Rin est une chargée d'édition prenant son travail très à coeur. Seule ombre au tableau : elle ne peut pas encadrer Satoshi, son collègue adulé par tous ! Un jour, poussée par une conscience professionnelle aigue, Rin lui tend des esquisses de scènes très osées et exige qu'il les joue avec elle. Pris dans une guerre d'ego, les deux collègues vont tomber dans une spirale de rencontres secrètes, torrides et un brin sadiques...",978-2302098039,https://m.media-amazon.com/images/I/81wDhgoXqcL._SY522_.jpg,Soleil; Illustrated édition (15 novembre 2023),Ai Hibiki
La Pomme Prisonnière,15.9,"Mariel Imari aime manger, boire et dormir. Elle aime aussi les chats. D'ailleurs, elles et les félins se ressemblent un peu, et se côtoient souvent. Au rythme nonchalant de journées oisives, découvrez l'intimité de Mariel Imari !",978-2383161615,https://m.media-amazon.com/images/I/71PA-spPxGL._SY522_.jpg,NOEVE GRAFX; Illustrated édition (23 septembre 2022),TSURATA KENJI
Si nous étions adultes... - Tome 8 (VF),14.33,"Avec Si nous étions adultes..., Takako Shimura signe une oeuvre particulièrement moderne, en scrutant de près l'intimité de ses personnages. Tiraillées entre le poids de la société et les mauvaises décisions du passé, ses héroïnes trouveront sans mal un écho auprès des lecteurs.
Ayano et Akari ont décidé d'emménager ensemble, même si elles se sentent coupables du malheur de certaines personnes de leur entourage. Cette nouvelle vie est pourtant un réconfort bienvenu pour les deux femmes et surtout, pour Ayano, qui est la cible de rumeurs dans son école. Pendant ce temps, Wataru souffre de son divorce et Eri se débat avec un amour adultère...",978-2382127971,https://m.media-amazon.com/images/I/6152FQLYwxL._SY522_.jpg,Akata; Illustrated édition (15 février 2024),Takako Shimura
The Blue Flowers and The Ceramic Forest T01,8.2,"Hasami, ville des pentes et de la porcelaine.
Aoko, peintre sur porcelaine, fait la rencontre de Tatsuki, fraîchement débarqué d'Europe. Lorsqu'il dit ne pas être intéressé par la peinture sur porcelaine, celle-ci a l'impression que l'on renie tout ce qu'elle est. Malgré cela, Aoko développe une fascination pour les céramiques blanches dont seul Tatsuki a le secret.
Une histoire d'amour et de poterie par Yuki Kodama (Kids on the Slope).",978-2382814918,https://m.media-amazon.com/images/I/81wdmERaZlL._SY522_.jpg,Mangetsu (14 février 2024),Yuki Kodama
GAME - Entre nos corps - Tome 3 (VF) (03),6.99,"À force de coucher ensemble, les deux jeunes adultes ne risquent-ils pas de se brûler les ailes ? De Kiriyama et Fujî, qui cédera en premier ? Quoiqu'il en soit, Kiriyama, réalisant qu'il commence à flancher, se laisse alors emporter par ses pulsions et...
À force de coucher ensemble, les deux jeunes adultes ne risquent-ils pas de se brûler les ailes ? De Kiriyama et Fujî, qui cédera en premier ? Quoiqu'il en soit, Kiriyama, réalisant qu'il commence à flancher, se laisse alors emporter par ses pulsions et...",978-2369743040,https://m.media-amazon.com/images/I/61JXnuVy9cL._SY522_.jpg,Akata; Illustrated édition (13 septembre 2018),Mai Nishikata
Nodame Cantabile T02,15.59,"À son arrivée dans l’université de musique Momogaoka, le célèbre maestro allemand, Franz von Stresemann, a rassemblé les pires étudiants de l’école pour former l’orchestre S. Mais comme à son habitude, l’honorable (?) professeur ne s’occupe absolument pas de ses élèves et ne vient presque jamais aux répétitions. Son disciple, Chiaki, se retrouve forcé de le remplacer au pied levé mais comment peut-il espérer rivaliser avec l’orchestre A avec une telle bande de bras cassés, deux semaines seulement avant le grand concert ?",978-2811684372,https://m.media-amazon.com/images/I/81IxEumFPgL._SY522_.jpg,Pika; Illustrated édition (3 avril 2024),Tomoko Ninomiya
Hana et la Bête - Tome 1,12.91,"L’isekai subversif qui unit un loup et une humaine !

« Comment es-tu entrée, humaine ?! »

Les thérianthropes et les humains… Un grand mur se dresse à l'infini entre ces deux espèces. La jeune Hana pénètre malgré elle dans leur monde et rencontre Sanathi, l'une de ces créatures mi-hommes mi-animales. Alors qu'il la questionne tout en la fixant de son regard perçant, Hana, tremblante, sent son corps se presser contre le sien… Elle ne peut plus fuir ! Alors qu'elle aurait dû être arrêtée, Sanathi choisit de ne pas la dénoncer et de la cacher ! Mais pourquoi ?! Elle est gentille, chaleureuse, mais aussi très sexy !

Ainsi débute une magnifique histoire d'amour qui transcende les espèces !",978-2382751268,https://m.media-amazon.com/images/I/81FKH3a2DZL._SY522_.jpg,Meian; Meian (Collection Daitan!) édition (28 avril 2021),Chihiro Yuzuki
